# SPAWNER DATA FOR 2025 SOCKEYE INTERNATIONAL,,,,,,,,
# Note: These values were extracted as-is from source files provided by the agencies.,,,,,,,,
# The values are consistent within each system but variable definitions differ between agencies,,,,,,,,
# Columbia Aggregate (Bonneville Lock & Dam) : Count of returning adults at Bonneville (gross escapement before inriver fisheries and inriver mortality due to migration conditions),,,,,,,,
# Columbia stocks (Wenatchee and  Okanagan): Estimate of stock-specific returning adults at Bonneville (gross escapement before inriver fisheries and inriver mortality due to migration conditions) based on stock composition estimates,,,,,,,,
# NOTE: This is DIFFERENT from spawner estimates (i.e. number of adults on the spawning grounds) provided for Bristol Bay and Fraser River stocks,,,,,,,,
# For detailed review of Okanagan sockeye data see Ogden et al. (2025): https://csas-scas.dfo-mpo.gc.ca/publications-publications/ffabdc85-7818-4118-ad2b-b1c47793760e?lang=en,,,,,,,,
BroodYear,Igushik,Wood,Nushagak,Kvichak,Alagnak,Naknek,Egegik,Ugashik
1963,92184.00,721404.00,234820.80,338760.00,203304.00,905358.00,997602.00,388254.00
1964,128532.00,1076112.00,134852.63,957120.00,248700.00,1349604.00,849576.00,472770.00
1965,180840.00,675156.00,255793.50,24325926.00,175020.00,717798.00,1444608.00,996612.00
1966,206360.00,1208682.00,233577.61,3755185.00,174336.00,1016445.00,804246.00,704436.00
1967,281772.00,515772.00,74002.82,3216208.00,202626.00,755640.00,636864.00,238830.00
1968,194508.00,649344.00,142360.42,2557440.00,193872.00,1023222.00,338654.00,70896.00
1969,512328.00,604338.00,95805.05,8394204.00,182490.00,1331202.00,1015554.00,160380.00
1970,370920.00,1161964.00,452891.76,13935306.00,177060.00,732502.00,919734.00,735024.00
1971,210960.00,851202.00,312699.18,2387392.00,187302.00,935754.00,634014.00,529752.00
1972,60018.00,430602.00,39850.56,1009962.00,151188.00,586518.00,546402.00,79428.00
1973,59508.00,330474.00,210600.77,226554.00,35280.00,356676.00,328842.00,38988.00
1974,358752.00,1708836.00,204190.17,4433844.00,214848.00,1241058.00,1275630.00,61854.00
1975,241086.00,1270116.00,832092.60,13140450.00,100480.00,2026686.00,1173840.00,429336.00
1976,186120.00,817008.00,520302.59,1965282.00,81822.00,1320750.00,509160.00,356308.00
1977,95970.00,561828.00,611588.36,1341144.00,108910.50,1085856.00,692514.00,201520.00
1978,536154.00,2267238.00,734040.08,4149288.00,584970.00,813378.00,895698.00,82435.00
1979,859560.00,1706352.00,551271.66,11218434.00,750210.00,925362.00,1032042.00,1706904.00
1980,1987530.00,2969040.00,3669136.41,22505268.00,759645.00,2644698.00,1060860.00,3335284.00
1981,591144.00,1233318.00,1118872.88,1754358.00,209635.50,1796220.00,694680.00,1327699.00
1982,423768.00,976470.00,664579.77,1134840.00,610215.00,1155552.00,1034628.00,1185551.00
1983,180438.00,1360968.00,446845.05,3569982.00,245361.00,888294.00,792282.00,1001364.00
1984,184872.00,1002792.00,655739.20,10490670.00,549193.50,1242474.00,1165345.00,1270318.00
1985,212454.00,939000.00,551319.22,7211046.00,300976.50,1849938.00,1095192.00,1006407.00
1986,307728.00,818652.00,1095241.26,1179322.00,586959.00,1977645.00,1150000.00,1015582.00
1987,169236.00,1337172.00,429181.61,6065880.00,393235.50,1061806.00,1270000.00,686894.00
1988,170454.00,866778.00,534459.88,4065216.00,496306.50,1037862.00,1610000.00,654412.00
1989,462000.00,1186410.00,567863.34,8317500.00,501738.00,1161984.00,1610000.00,1713287.00
1990,366000.00,1069440.00,752513.14,6970020.00,430338.00,2092578.00,2190000.00,749478.00
1991,756000.00,1159920.00,544748.25,4222788.00,707851.95,3578508.00,2786925.00,2482016.00
1992,304920.00,1286250.00,768816.14,4725864.00,577939.65,1606650.00,1945632.00,2194927.00
1993,406000.00,1180000.00,790926.96,4025166.00,887336.25,1535658.00,1520000.00,1413454.00
1994,445920.00,1470000.00,563334.12,8355936.00,618464.25,990810.00,1900000.00,1095068.00
1995,473000.00,1482162.00,311136.35,10038720.00,550068.15,1111140.00,1266692.00,1321108.00
1996,401000.00,1649598.00,557057.35,1450000.00,782212.50,1078098.00,1076460.00,692167.00
1997,127704.00,1512396.00,412591.04,1500000.00,556193.25,1025664.00,1104004.00,656641.00
1998,215904.00,1755768.00,507532.27,2296074.00,643110.00,1202172.00,1110938.00,924853.00
1999,446000.00,1512426.00,344972.27,6196914.00,1182180.00,1625364.00,1730000.00,1662042.00
2000,413000.00,1300026.00,446286.50,1827780.00,1150000.00,1375488.00,1032138.00,638420.00
2001,409596.00,1458732.00,897112.18,1095348.00,680850.00,1830000.00,968872.00,866368.00
2002,123156.00,1283682.00,349155.31,703884.00,767000.00,1263918.00,1036092.00,905584.00
2003,194088.00,1459782.00,642092.90,1690000.00,3676146.00,1831170.00,1150000.00,790202.00
2004,109650.00,1543392.00,543872.27,5500134.00,5400000.00,1939674.00,1290000.00,815104.00
2005,366000.00,1496550.00,1106703.00,2320332.00,4218990.00,2744622.00,1621734.00,799612.00
2006,305268.00,4010000.00,548410.00,3068226.00,1773966.00,1953228.00,1465158.00,1003158.00
2007,415452.00,1528086.00,518041.00,2810208.00,2470000.00,2945304.00,1430000.00,2599186.00
2008,1050000.00,1724676.00,492546.00,2757912.00,2180502.00,2472690.00,1260000.00,596332.00
2009,514188.00,1320000.00,484149.00,2270000.00,971000.00,1169466.00,1150000.00,1364338.00
2010,518040.00,1800000.00,468696.00,4207410.00,1190000.00,1463928.00,927000.00,830886.00
2011,421380.00,1098006.00,428191.00,2260000.00,883794.00,1177074.00,961200.00,1029853.00
2012,193326.00,764211.00,432438.00,4164444.00,861747.00,900312.00,1230000.00,670578.00
2013,387000.00,1183348.00,894148.00,2090000.00,1100000.00,938160.00,1110000.00,898110.00
2014,341000.00,2760000.00,618477.00,4460000.00,189000.00,1474428.00,1380000.00,640158.00
2015,651000.00,1941474.00,796684.00,7348572.00,5450000.00,1920954.00,2160792.00,1564638.00
2016,469000.00,1309707.00,680512.00,4462728.00,1677769.00,1691910.00,1837260.00,1635270.00
2017,578700.00,4274224.00,2852308.00,3163404.00,2040000.00,1899972.00,2600982.00,1186446.00
2018,771000.00,7510000.00,1247460.00,4398708.00,1581426.00,2221152.00,1608354.00,1167792.00
2019,256074.00,2073276.00,709431.00,2371242.00,820000.00,2911470.00,2340000.00,1547748.00
2020,323814.00,2243886.00,1228059.00,4030000.00,2386518.00,4112160.00,2389728.00,1745940.00
2021,878952.00,4410156.00,4697299.00,4703520.00,3240000.00,2796534.00,1832196.00,2859930.00
2022,378768.00,3747612.00,3455272.00,4224882.00,1668222.00,1921296.00,1786152.00,1436784.00
2023,542496.00,2648616.00,1772676.00,3751686.00,1099050.00,1156206.00,1562700.00,1128896.00
2024,692616.00,4404654.00,1708693.00,6644490.00,2356560.00,926112.00,1114008.00,1759776.00
2025,668268.00,2657028.00,3260590.00,2968128.00,2157828.00,1042152.00,1382106.00,1041048.00
