# SPAWNER DATA FOR 2025 SOCKEYE INTERNATIONAL,,,
# Note: These values were extracted as-is from source files provided by the agencies.,,,
# The values are consistent within each system but variable definitions differ between agencies,,,
# Columbia Aggregate (Bonneville Lock & Dam) : Count of returning adults at Bonneville (gross escapement before inriver fisheries and inriver mortality due to migration conditions),,,
# Columbia stocks (Wenatchee and  Okanagan): Estimate of stock-specific returning adults at Bonneville (gross escapement before inriver fisheries and inriver mortality due to migration conditions) based on stock composition estimates,,,
# NOTE: This is DIFFERENT from spawner estimates (i.e. number of adults on the spawning grounds) provided for Bristol Bay and Fraser River stocks,,,
# For detailed review of Okanagan sockeye data see Ogden et al. (2025): https://csas-scas.dfo-mpo.gc.ca/publications-publications/ffabdc85-7818-4118-ad2b-b1c47793760e?lang=en,,,
BroodYear,Bonneville Lock & Dam,Wenatchee,Okanagan
1985,166340,NA,NA
1986,58123,NA,NA
1987,116993,NA,NA
1988,79714,NA,NA
1989,41884,NA,NA
1990,49581,NA,NA
1991,76481,NA,NA
1992,84992,NA,NA
1993,80178,NA,NA
1994,12678,NA,NA
1995,8774,NA,NA
1996,30232,NA,NA
1997,47008,NA,NA
1998,13218,NA,NA
1999,17877,NA,NA
2000,93398,NA,NA
2001,114934,NA,NA
2002,49610,NA,NA
2003,39291,5001,9395
2004,123291,33378,2836
2005,72971,16006,56182
2006,37066,10169,26319
2007,24376,4307,20069
2008,213607,26909,186655
2009,177823,26931,146926
2010,386525,65535,317532
2011,185796,39792,143472
2012,515673,86157,429467
2013,185505,53382,131906
2014,614179,107151,494172
2015,510706,145969,361336
2016,342498,94838,237735
2017,87693,34770,51733
2018,193816,17351,174827
2019,63046,7777,54196
2020,341739,56111,273667
2021,151765,42866,105405
2022,663253,147473,513317
2023,327600,145783,178348
2024,755909,182297,562101
2025,166711,63763,100711
